Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (m),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
925,Caker,Canopyshia,Canopyshia Canton,Meridian Chain,Meridian Chainese League,Canopy-Climbers,The Whisperers,town,7843,1966.4,238.1,61.06,67.68,361,13°C,Milan (Italy),,,,,,,,{t1:sable;charges:[{charge:horseshoe;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Caker&population=7843&size=28&seed=5864998610925&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
926,Grimgul,,,Neutrals,undefined,Manis,The Whisperers,town,15300,2617.7,242,60.59,146.84,484,12°C,Paris (France),,,,,,,,{t1:argent;charges:[{charge:griffinRampant;t:purpure;p:e;t2:purpure;t3:vert;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Grimgul&population=15300&size=36&seed=5864998610926&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
927,Thunfurytail,Blodfang,Blodfang Tribe,Guirilla,Guirillan Tribes,Small-Paws,The Whisperers,village,2968,891.09,246.8,60,-63,324,13°C,Milan (Italy),,port,,,,,,{t1:argent;charges:[{charge:raft;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=2968&name=Thunfurytail&seed=5864998610927&width=1600&height=780&style=default&tags=coast%2Chighway%2Cno+square%2Cdense
928,Thun,Blodfang,Blodfang Tribe,Guirilla,Guirillan Tribes,Small-Paws,The Whisperers,town,2303,789.68,260.62,58.32,-75.33,400,13°C,Milan (Italy),,,,,,,,{t1:bendy-argent-gules;division:{division:perFess;t:sable;line:straight};ordinaries:[{ordinary:pile;t:azure}];shield:heater},https://watabou.github.io/city-generator/?name=Thun&population=2303&size=18&seed=5864998610928&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
929,Darkclaw,Ironsker,Ironsker Tribe,Guirilla,Guirillan Tribes,Small-Paws,The Whisperers,town,3082,932.44,256.47,58.83,-57.98,256,14°C,Washington (D.C.),,,,,,,,{t1:azure;charges:[{charge:cossack;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Darkclaw&population=3082&size=20&seed=5864998610929&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
930,Calonsper,Canopyshia,Canopyshia Canton,Meridian Chain,Meridian Chainese League,Canopy-Climbers,The Whisperers,town,25032,1998.03,262.55,58.09,71.53,256,14°C,Washington (D.C.),,,,,,,,{t1:azure;division:{division:perFess;t:or;line:potentySinister};charges:[{charge:ramHeadErased;t:argent;p:k;t2:argent;t3:argent;size:0.7};{charge:horseSalient;t:gules;p:n;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Calonsper&population=25032&size=44&seed=5864998610930&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
931,Grug,,,Neutrals,undefined,Manis,The Whisperers,town,14509,2623.79,260.03,58.4,147.58,324,14°C,Washington (D.C.),,,,,,,,{t1:argent;ordinaries:[{ordinary:pile;t:sable}];charges:[{charge:mullet;t:gules;p:kn;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Grug&population=14509&size=36&seed=5864998610931&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
932,Lighthorn,,,Neutrals,undefined,Small-Paws,The Whisperers,town,21641,690.35,276.35,56.41,-87.4,361,15°C,Rome (Italy),,,,,,,,{t1:sable;division:{division:perBend;t:argent;line:enclavy};shield:heater},https://watabou.github.io/city-generator/?name=Lighthorn&population=21641&size=41&seed=5864998610932&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
933,Ironsker,Blodfang,Blodfang Tribe,Guirilla,Guirillan Tribes,Small-Paws,The Whisperers,town,13737,921.09,282.9,55.62,-59.36,441,14°C,Washington (D.C.),,,,,,,,{t1:azure;division:{division:perBend;t:or;line:potentyDexter};shield:heater},https://watabou.github.io/city-generator/?name=Ironsker&population=13737&size=35&seed=5864998610933&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
934,Canopyleaf,,,Neutrals,undefined,Canopy-Climbers,Toxic Liquidity,town,26301,1730.71,285.27,55.33,39.04,441,14°C,Washington (D.C.),,,citadel,,,,,{t1:argent;ordinaries:[{ordinary:saltire;t:gules;line:bevilled}];charges:[{charge:lute;t:sable;p:e;t2:purpure;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Canopyleaf&population=26301&size=45&seed=5864998610934&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
935,Canopywind,Cadeze,Cadeze Province,Canopy,Confederacy of Canopy,Canopy-Climbers,The Whisperers,town,3329,1939.73,289.85,54.77,64.44,196,16°C,Dubrovnik (Croatia),,port,,,,,,{t1:fusily-argent-purpure;ordinaries:[{ordinary:pale;t:gules;line:straight}];charges:[{charge:lanceWithBanner;t:gules;p:y;t2:gules;t3:vert;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Canopywind&population=3329&size=20&seed=5864998610935&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=true&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
936,Bone,,,Neutrals,undefined,Small-Paws,Siren Song,town,4472,637.87,308.63,52.49,-93.78,225,16°C,Dubrovnik (Croatia),,,,,,,,{t1:or;ordinaries:[{ordinary:chevron;t:sable}];charges:[{charge:scissors2;t:argent;p:ach;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Bone&population=4472&size=23&seed=5864998610936&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
937,Bladowhiswal,Blaleria,Blaleria District,Relience,Reliencean Republic,Reliance,Cult of the Crushed,town,43450,1086.77,317.11,51.46,-39.22,361,16°C,Dubrovnik (Croatia),,port,,walls,plaza,,,{t1:argent;charges:[{charge:grapeBunch;t:gules;p:jln;t2:gules;t3:purpure;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Bladowhiswal&population=43450&size=54&seed=5864998610937&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural
938,Shale,,,Neutrals,undefined,Sylvan Ancients,The Whisperers,village,9313,992.44,329.99,49.89,-50.69,361,16°C,Dubrovnik (Croatia),,,,,,,,{t1:argent;charges:[{charge:wheel;t:azure;p:jln;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=9313&name=Shale&seed=5864998610938&width=1600&height=780&style=default&tags=dead+end%2Cno+square%2Cdense
939,Snowfladow,,,Neutrals,undefined,Canid-Kin,The Whisperers,town,13213,1529.95,328.12,50.12,14.64,289,16°C,Dubrovnik (Croatia),,,,walls,,,,{t1:argent;division:{division:perBend;t:azure;line:rayonne};charges:[{charge:castle;t:purpure;p:l;t2:purpure;size:0.7};{charge:mullet6;t:or;p:m;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Snowfladow&population=13213&size=34&seed=5864998610939&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
940,Canoresper,Canopymistd,Canopymistd Province,Canopy,Confederacy of Canopy,Canopy-Climbers,The Whisperers,town,2119,1895.8,334.51,49.34,59.1,289,16°C,Dubrovnik (Croatia),,,,,,,,{t1:sable;ordinaries:[{ordinary:chevron;t:argent}];charges:[{charge:pique;t:vert;p:ach;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Canoresper&population=2119&size=17&seed=5864998610940&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
941,Grik,,,Neutrals,undefined,Manis,The Whisperers,town,2100,2620.14,330.81,49.79,147.13,289,16°C,Dubrovnik (Croatia),,,,,,,,{t1:or;division:{division:perCross;t:sable;line:straight};charges:[{charge:butterfly;t:azure;p:j;t2:gules;t3:azure;size:0.6};{charge:lute;t:argent;p:l;size:0.6};{charge:fleurDeLis;t:argent;p:m;size:0.6};{charge:hatchet;t:gules;p:o;size:0.6}];shield:heater},https://watabou.github.io/city-generator/?name=Grik&population=2100&size=17&seed=5864998610941&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
942,Grungor,Grumphak,Grumphak Canton,Scute,Scutean Confederacy,Manis,The Whisperers,village,6724,2471.28,337.98,48.92,129.04,289,17°C,Lisbon (Portugal),,,,,,,,{t1:masoned-argent-vert;division:{division:perFess;t:sable;line:straight};ordinaries:[{ordinary:cross;t:gules;line:straight}];shield:heater},https://watabou.github.io/village-generator/?pop=6724&name=Grungor&seed=5864998610942&width=1600&height=780&style=default&tags=highway%2Cno+square%2Cdense
943,Grunthokmak,Grumtharkun,Grumtharkun Canton,Scute,Scutean Confederacy,Manis,The Whisperers,town,12823,2612.21,344.68,48.11,146.17,361,17°C,Lisbon (Portugal),,,,,,,,{t1:bendy-gules-argent;division:{division:perCross;t:or;line:straight};shield:heater},https://watabou.github.io/city-generator/?name=Grunthokmak&population=12823&size=34&seed=5864998610943&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
944,Shaverheart,Blaleria,Blaleria District,Relience,Reliencean Republic,Reliance,The Whisperers,town,13267,1034.19,348.33,47.66,-45.61,256,17°C,Lisbon (Portugal),,,,walls,,,,{t1:argent;charges:[{charge:dragonRampant;t:gules;p:e;t2:gules;t3:azure;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Shaverheart&population=13267&size=34&seed=5864998610944&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
945,Sympho,,,Neutrals,undefined,Eagles,The Whisperers,town,12540,1401.66,356.08,46.72,-0.95,361,17°C,Lisbon (Portugal),,port,,,,,,{t1:argent;ordinaries:[{ordinary:chief;t:azure;line:straight}];charges:[{charge:roundel2;t:argent;p:abc;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Sympho&population=12540&size=34&seed=5864998610945&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=0.98
946,Canopybre,Canopyfopy,Canopyfopy Province,Canopy,Confederacy of Canopy,Canopy-Climbers,The Whisperers,town,38157,1844.44,349.13,47.57,52.86,400,16°C,Dubrovnik (Croatia),,,,,,,,{t1:argent;division:{division:perBendSinister;t:purpure;line:straight};charges:[{charge:thistle;t:vert;p:e;divided:counter;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Canopybre&population=38157&size=51&seed=5864998610946&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
947,Grumrok,Grumphak,Grumphak Canton,Scute,Scutean Confederacy,Manis,The Whisperers,village,6902,2481.95,349.35,47.54,130.34,361,17°C,Lisbon (Portugal),,,,,,,,{t1:vert;charges:[{charge:horseRampant;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=6902&name=Grumrok&seed=5864998610947&width=1600&height=780&style=default&tags=highway%2Cno+square%2Cdense
948,Grunthrak,Grumtharkun,Grumtharkun Canton,Scute,Scutean Confederacy,Manis,The Whisperers,village,6269,2598.08,355.1,46.84,144.45,400,16°C,Dubrovnik (Croatia),,,,,,,,{t1:argent;division:{division:perCross;t:azure;line:nebuly};shield:heater},https://watabou.github.io/village-generator/?pop=6269&name=Grunthrak&seed=5864998610948&width=1600&height=780&style=default&tags=dead+end%2Cno+square%2Cdense
949,Silrotlash,,,Neutrals,undefined,Sylvan Ancients,Siren Song,town,6644,926.78,366.79,45.42,-58.67,289,17°C,Lisbon (Portugal),,port,,,,,,{t1:argent;division:{division:perFess;t:vert;line:nowy};charges:[{charge:mullet;t:sable;p:k;size:0.7};{charge:sickle;t:or;p:n;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Silrotlash&population=6644&size=27&seed=5864998610949&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
950,Grompog,Grumgul,Grumgul Canton,Scute,Scutean Confederacy,Manis,True Smelt,town,3921,2410.11,364.32,45.72,121.61,289,17°C,Lisbon (Portugal),,port,,,,,,{t1:vert;division:{division:perChevronReversed;t:argent;line:straight};charges:[{charge:mullet;t:or;p:mok;divided:counter;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Grompog&population=3921&size=22&seed=5864998610950&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
951,Shadow,Gadowtglide,Gadowtglide Community,Sylvania,Sylvanian Commune,Iron-Woods,The Whisperers,village,16634,643.01,372.51,44.73,-93.15,256,18°C,Barcelona (Spain),,,,,,,,{t1:gules;ordinaries:[{ordinary:fessCotissed;t:or;line:wavy}];charges:[{charge:crossBottony;t:gules;p:e;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=16634&name=Shadow&seed=5864998610951&width=1600&height=780&style=default&tags=river%2Cdead+end%2Cno+square%2Cdense
952,Shaleclaw,Crystalia,Crystalia Commune,Sylvania,Sylvanian Commune,Iron-Woods,The Whisperers,town,2119,689.94,375.38,44.38,-87.45,400,17°C,Lisbon (Portugal),,,citadel,,,,,{t1:gules;ordinaries:[{ordinary:gyron;t:or}];charges:[{charge:pillar;t:or;p:bh;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Shaleclaw&population=2119&size=17&seed=5864998610952&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
953,Gadowstal,Crystalia,Crystalia Commune,Sylvania,Sylvanian Commune,Weeping Mangroves,The Whisperers,village,2198,736.76,377.18,44.16,-81.76,324,18°C,Barcelona (Spain),,,,,,,,{t1:argent;charges:[{charge:anchor;t:purpure;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=2198&name=Gadowstal&seed=5864998610953&width=1600&height=780&style=default&tags=river%2Chighway%2Cno+square%2Cdense
954,Canopymistd,Canopymistd,Canopymistd Province,Canopy,Confederacy of Canopy,Canopy-Climbers,True Smelt,town,2153,1882.47,371.74,44.82,57.48,961,14°C,Washington (D.C.),,,,,,,,{t1:sable;ordinaries:[{ordinary:pale;t:argent;line:straight}];charges:[{charge:spear;t:gules;p:beh;t2:argent;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Canopymistd&population=2153&size=17&seed=5864998610954&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
955,Sunblaver,Caser,Caser Province,Canopy,Confederacy of Canopy,Reliance,The Whisperers,town,2163,2051.26,376.07,44.29,77.99,289,18°C,Barcelona (Spain),,,,,,,,{t1:argent;ordinaries:[{ordinary:fess;t:purpure;line:straight}];charges:[{charge:chalice;t:sable;p:abc;t2:gules;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Sunblaver&population=2163&size=17&seed=5864998610955&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
956,Grung,,,Neutrals,undefined,Manis,The Whisperers,town,3330,2624.65,376.53,44.24,147.68,400,17°C,Lisbon (Portugal),,,,,,,,{t1:chequy-argent-azure;division:{division:perFess;t:gules;line:straight};charges:[{charge:hourglass;t:sable;p:k;t2:sable;t3:sable;size:0.7};{charge:crossTriquetra;t:or;p:n;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Grung&population=3330&size=20&seed=5864998610956&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=true&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
957,Mong,Silkerpelt,Silkerpelt Commune,Sylvania,Sylvanian Commune,Iron-Woods,The Whisperers,town,14753,676.2,397.45,41.69,-89.12,324,18°C,Barcelona (Spain),,,,walls,,,,{t1:sable;ordinaries:[{ordinary:terrace;t:argent;line:straight}];charges:[{charge:raft;t:or;p:bdf;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Mong&population=14753&size=36&seed=5864998610957&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
958,Scutainvicti,Canopymistd,Canopymistd Province,Canopy,Confederacy of Canopy,Geckos,True Smelt,town,16267,1922.93,389.56,42.65,62.4,400,17°C,Lisbon (Portugal),,,citadel,,,,,{t1:azure;division:{division:perFess;t:or;line:straight};charges:[{charge:trianglePierced;t:argent;p:ABCDEFGHIJKL;size:0.18};{charge:lionHeadErased;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Scutainvicti&population=16267&size=37&seed=5864998610958&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
959,Ceraphria,Vesia,Vesia Parish,Theocracy,Holy State of Theocracy,Dolphin-Kin,The Strangler,town,10931,295.4,404.42,40.85,-135.4,361,19°C,Marrakesh (Morocco),,,,,,,,{t1:vert;ordinaries:[{ordinary:pileInBend;t:argent}];charges:[{charge:talbotSejant;t:gules;p:eo;t2:gules;t3:argent;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Ceraphria&population=10931&size=32&seed=5864998610959&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
960,Blacksmit,Gadowtglide,Gadowtglide Community,Sylvania,Sylvanian Commune,Gliding Skinks,The Whisperers,town,10074,599.87,401.17,41.24,-98.4,225,20°C,Alexandria (Egypt),,,,,,,,{t1:argent;charges:[{charge:frog;t:purpure;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Blacksmit&population=10074&size=31&seed=5864998610960&river=1&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
961,Canopytreb,Canopyfopy,Canopyfopy Province,Canopy,Confederacy of Canopy,Canopy-Climbers,True Smelt,village,3142,1812.16,399.92,41.39,48.94,961,15°C,Rome (Italy),,,,walls,,,,{t1:or;charges:[{charge:pot;t:azure;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=3142&name=Canopytreb&seed=5864998610961&width=1600&height=780&style=default&tags=river%2Chighway%2Cno+square%2Cpalisade%2Cdense
962,Stormfeatga,Frostshria,Frostshria Commune,Sylvania,Sylvanian Commune,Iron-Woods,The Whisperers,town,16986,803.24,417.84,39.22,-73.68,361,19°C,Marrakesh (Morocco),,port,,walls,,,,{t1:azure;charges:[{charge:lionHeadErased;t:or;p:e;t2:or;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Stormfeatga&population=16986&size=38&seed=5864998610962&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=true&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
963,Grumnok,Grumtharkun,Grumtharkun Canton,Scute,Scutean Confederacy,Manis,The Whisperers,village,9528,2604.33,410.97,40.05,145.21,400,18°C,Barcelona (Spain),,,,,,,,{t1:or;charges:[{charge:bridge2;t:azure;p:jlh;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=9528&name=Grumnok&seed=5864998610963&width=1600&height=780&style=default&tags=highway%2Cno+square%2Cdense
964,Zephor,Vesia,Vesia Parish,Theocracy,Holy State of Theocracy,Dolphin-Kin,The Strangler,village,17817,318.59,421.44,38.78,-132.58,289,19°C,Marrakesh (Morocco),,,,,,,,{t1:azure;charges:[{charge:shield;t:argent;p:e;t2:argent;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=17817&name=Zephor&seed=5864998610964&width=1600&height=780&style=default&tags=river%2Chighway%2Cno+square%2Cdense
965,Shadowhelp,Gadowtglide,Gadowtglide Community,Sylvania,Sylvanian Commune,Iron-Woods,The Whisperers,town,2117,657,424.74,38.38,-91.45,576,17°C,Lisbon (Portugal),,,,,,,,{t1:or;ordinaries:[{ordinary:saltireParted;t:azure;line:straight}];charges:[{charge:bearRampant;t:or;p:e;t2:or;t3:or;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Shadowhelp&population=2117&size=17&seed=5864998610965&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
